number,status,available_bike_stands,available_bikes,last_update42,OPEN,29,1,2019-02-21 10:24:34
30,OPEN,19,1,2019-02-21 10:28:31
54,OPEN,21,12,2019-02-21 10:27:01
108,OPEN,39,0,2019-02-21 10:28:13
56,OPEN,15,24,2019-02-21 10:30:59
6,OPEN,20,0,2019-02-21 10:30:21
18,OPEN,30,0,2019-02-21 10:31:35
32,OPEN,17,12,2019-02-21 10:28:49
52,OPEN,24,8,2019-02-21 10:23:17
48,OPEN,3,37,2019-02-21 10:32:02
13,OPEN,5,25,2019-02-21 10:24:50
43,OPEN,29,1,2019-02-21 10:23:39
81,OPEN,40,0,2019-02-21 10:32:56
31,OPEN,19,1,2019-02-21 10:32:17
98,OPEN,2,38,2019-02-21 10:31:11
14,OPEN,8,21,2019-02-21 10:31:40
23,OPEN,18,11,2019-02-21 10:27:13
106,OPEN,38,2,2019-02-21 10:30:40
112,OPEN,21,9,2019-02-21 10:32:48
68,OPEN,14,26,2019-02-21 10:30:08
74,OPEN,30,0,2019-02-21 10:24:01
87,OPEN,38,0,2019-02-21 10:26:17
84,OPEN,30,0,2019-02-21 10:23:38
90,OPEN,0,40,2019-02-21 10:32:33
11,OPEN,8,22,2019-02-21 10:32:37
17,OPEN,19,1,2019-02-21 10:32:26
45,OPEN,27,3,2019-02-21 10:31:35
114,OPEN,0,40,2019-02-21 10:32:01
72,OPEN,30,1,2019-02-21 10:30:18
63,OPEN,0,35,2019-02-21 10:32:21
113,OPEN,4,35,2019-02-21 10:27:05
91,OPEN,21,9,2019-02-21 10:31:22
99,OPEN,0,30,2019-02-21 10:25:12
9,OPEN,0,24,2019-02-21 10:32:32
67,OPEN,38,2,2019-02-21 10:28:17
55,OPEN,6,30,2019-02-21 10:32:41
62,OPEN,1,38,2019-02-21 10:32:35
5,OPEN,24,16,2019-02-21 10:30:27
97,OPEN,40,0,2019-02-21 10:28:43
61,OPEN,23,2,2019-02-21 10:31:17
77,OPEN,26,3,2019-02-21 10:29:27
73,OPEN,29,1,2019-02-21 10:24:18
4,OPEN,20,0,2019-02-21 10:28:32
49,OPEN,0,38,2019-02-21 10:28:09
19,OPEN,5,24,2019-02-21 10:32:46
7,OPEN,28,1,2019-02-21 10:28:52
60,OPEN,18,12,2019-02-21 10:28:09
102,OPEN,24,16,2019-02-21 10:29:09
38,OPEN,40,0,2019-02-21 10:31:47
53,OPEN,17,22,2019-02-21 10:25:16
58,OPEN,17,23,2019-02-21 10:30:48
66,OPEN,12,28,2019-02-21 10:32:58
104,OPEN,34,6,2019-02-21 10:23:27
